Comment,Designator,Footprint,LCSC
22pF,"C26,C27",C_0603_1608Metric,C105620
47pF,C14,C_0603_1608Metric,C105622
12pF,"C30,C31",C_0603_1608Metric,C107034
220nF,"C2,C20,C33,C35,C7,C9",C_0603_1608Metric,C107083
10uF,"C39,C41,C42",C_0603_1608Metric,C109457
8Mhz,Y1,Crystal_SMD_HC49-SD,C12674
2K7,R17,R_0603_1608Metric,C13167
60V 1A,D3,D_SMA,C134421
100nF,"C1,C13,C15,C16,C17,C18,C19,C21,C22,C23,C25,C28,C29,C3,C32,C34,C40,C43,C44,C6,C8",C_0603_1608Metric,C14663
MAX9926UAEE+,U3,SOP64P602X175-16N,C1523548
1A 60V,F1,Fuse_1206_3216Metric,C163133
USB_C_Receptacle_USB2.0_16P,J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C165948
1nF,"C10,C11,C12,C24",C_0603_1608Metric,C1853786
0R,"R38,R39,R62,R63",R_0603_1608Metric,C21189
1K,"R12,R14,R15,R23,R26,R28,R34,R35,R69,R73",R_0603_1608Metric,C21190
100R,"R13,R31,R37,R42,R44,R5,R50",R_0603_1608Metric,C22775
120R,R70,R_0603_1608Metric,C22787
2K49,"R22,R9",R_0603_1608Metric,C22908
1M,R40,R_0603_1608Metric,C22935
2K,"R1,R2,R27,R6",R_0603_1608Metric,C22975
4K7,"R55,R59",R_0603_1608Metric,C23162
470R,"R18,R24,R25,R30,R36,R4,R51,R54,R58",R_0603_1608Metric,C23179
47R,"R29,R3",R_0603_1608Metric,C23182
5.1K,"R71,R72",R_0603_1608Metric,C23186
51K,"R11,R45",R_0603_1608Metric,C23196
9K1,"R57,R60",R_0603_1608Metric,C23260
100K,"R19,R32",R_0603_1608Metric,C25803
10K,"R16,R20,R21,R33,R41,R43,R46,R47,R48,R49,R52,R53,R56,R61,R64,R65,R66,R7,R74,R8",R_0603_1608Metric,C25804
MPXH6400AC6T1,IC2,MPXH6400AC6T1,C2828031
STM32F407VETx,U2,LQFP-100_14x14mm_P0.5mm,C28730
1N4007-A7,"D11,D12,D16,D4,D9",D_SOD-123,C2902912
32.768Khz,Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346
47u 50v,"C4,C5",CP_Elec_6.3x7.7,C3349
AO3400A,Q7,SOT-23,C344010
33K,R10,R_0603_1608Metric,C4216
TC4424AVOA,IC1,SOIC127P600X175-8N,C44150
NCV8406ASTT3G,"Q1,Q2,Q3,Q4,Q5,Q6",SOT-223-3_TabPin2,C459816
BAT54S,"D10,D13,D14,D17,D18,D2,D20,D21,D5,D6,D8",SOT-23,C47546
ING-VLT,JP1,PinHeader_1x03_P2.54mm_Vertical,C49257
Conn_01x04,"P1,P4",PinHeader_1x04_P2.54mm_Vertical,C5116483
SW_Push,SW1,SW_Push_1P1T_NO_6x6mm_H9.5mm,C5127964
AMS1117-3.3,U6,SOT-223-3_TabPin2,C6186
TJA1050,U5,SO-8_5.3x6.2mm_P1.27mm,C6952
1N4004,"D1,D15",D_SMA,C727080
L7805CDT(UMW),U1,TO-252-2,C7394043
1SMB5919BT3G,D7,D_SMB,C7422622
RED,"LED1,LED2,LED3,LED4,LED5,LED6",LED_0805_2012Metric,C84256
